UD,time_s,Vcommand_mps,Vcommand_RPM
D,1629070735.9866464,0.0,0.0
D,1629070736.1051812,0.0,0.0
D,1629070736.220721,0.0,0.0
D,1629070736.334391,0.0,0.0
D,1629070736.4453433,0.0,0.0
D,1629070736.5691564,0.0,0.0
D,1629070736.6845617,0.0,0.0
D,1629070736.814536,0.0,0.0
D,1629070736.9177814,0.0,0.0
D,1629070737.0299184,0.0,0.0
D,1629070737.1368935,0.0,0.0
D,1629070737.2524593,0.0,0.0
D,1629070737.3635879,0.0,0.0
D,1629070737.4699292,0.0,0.0
D,1629070737.5784981,0.0,0.0
D,1629070737.689302,0.0,0.0
D,1629070737.80084,0.0,0.0
D,1629070737.9129317,0.0,0.0
D,1629070738.0237339,0.0,0.0
D,1629070738.1326203,0.0,0.0
D,1629070738.2428725,0.0,0.0
D,1629070738.3529239,0.0,0.0
D,1629070738.46439,0.0,0.0
D,1629070738.575545,0.0,0.0
D,1629070738.687876,0.0,0.0
D,1629070738.799509,0.0,0.0
D,1629070738.9070437,0.0,0.0
D,1629070739.0180387,0.0,0.0
D,1629070739.1306114,0.0,0.0
D,1629070739.2417972,0.0,0.0
D,1629070739.3527672,0.0,0.0
D,1629070739.4606695,0.0,0.0
D,1629070739.571745,0.0,0.0
D,1629070739.6829634,0.0,0.0
D,1629070739.7943373,0.0,0.0
D,1629070739.9051037,0.0,0.0
D,1629070740.0162985,0.0,0.0
D,1629070740.127345,0.0,0.0
D,1629070740.2387433,0.0,0.0
D,1629070740.3503206,0.0,0.0
D,1629070740.4577613,0.0,0.0
D,1629070740.5682263,0.0,0.0
D,1629070740.6800935,0.0,0.0
D,1629070740.790424,0.0,0.0
D,1629070740.9013731,0.0,0.0
D,1629070741.0134494,0.0,0.0
D,1629070741.124957,0.0,0.0
D,1629070741.233034,0.0,0.0
D,1629070741.343945,0.0,0.0
D,1629070741.4556794,0.0,0.0
D,1629070741.5674722,0.0,0.0
D,1629070741.67969,0.0,0.0
