UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.2,1629072402.1286361,-0.000985750000000002,-29.57250000000006
D,-0.2,1629072402.2406764,-0.0009800000000000004,-29.400000000000013
D,-0.2,1629072402.377364,-0.0009660000000000003,-28.980000000000008
D,-0.2,1629072402.4879694,-0.000955250000000002,-28.65750000000006
D,-0.2,1629072402.5954585,-0.0009447499999999998,-28.342499999999994
D,-0.2,1629072402.703846,-0.0009345000000000021,-28.035000000000064
D,-0.2,1629072402.810998,-0.000924750000000002,-27.742500000000057
D,-0.2,1629072402.9258995,-0.0009135000000000005,-27.405000000000012
D,-0.2,1629072403.039014,-0.0009037500000000005,-27.112500000000015
D,-0.2,1629072403.149868,-0.0008934999999999999,-26.804999999999996
D,-0.2,1629072403.264276,-0.000883500000000001,-26.50500000000003
D,-0.2,1629072403.371931,-0.0008737500000000009,-26.212500000000027
D,-0.2,1629072403.5077026,-0.0008617500000000001,-25.852500000000003
D,-0.2,1629072403.6382961,-0.0008502500000000025,-25.507500000000075
D,-0.2,1629072403.7494283,-0.0008410000000000002,-25.230000000000004
D,-0.2,1629072403.8626077,-0.0008310000000000012,-24.930000000000035
D,-0.2,1629072403.9854589,-0.0008205000000000018,-24.61500000000005
D,-0.2,1629072404.0940804,-0.00081175,-24.3525
D,-0.2,1629072404.2085366,-0.0008022500000000016,-24.06750000000005
D,-0.2,1629072404.3205276,-0.000793000000000002,-23.79000000000006
D,-0.2,1629072404.433348,-0.0007840000000000014,-23.52000000000004
D,-0.2,1629072404.5451214,-0.0007752500000000024,-23.25750000000007
D,-0.2,1629072404.6690855,-0.0007652500000000007,-22.95750000000002
D,-0.2,1629072404.7745097,-0.0007577500000000015,-22.732500000000044
D,-0.2,1629072404.8891551,-0.0007482500000000003,-22.44750000000001
D,-0.2,1629072405.0024168,-0.0007395000000000013,-22.18500000000004
D,-0.2,1629072405.1149619,-0.0007310000000000012,-21.930000000000035
D,-0.2,1629072405.2248325,-0.0007232500000000004,-21.697500000000012
D,-0.2,1629072405.3393488,-0.0007152500000000006,-21.457500000000017
D,-0.2,1629072405.451985,-0.000707250000000001,-21.217500000000026
D,-0.2,1629072405.5604484,-0.0006992500000000013,-20.97750000000004
D,-0.2,1629072405.670977,-0.0006912500000000017,-20.73750000000005
D,-0.2,1629072405.7830622,-0.000683250000000002,-20.49750000000006
D,-0.2,1629072405.912686,-0.0006750000000000007,-20.25000000000002
D,-0.2,1629072406.0220933,-0.0006675000000000014,-20.02500000000004
D,-0.2,1629072406.1335466,-0.0006595000000000018,-19.785000000000053
D,-0.2,1629072406.2417614,-0.0006525000000000003,-19.57500000000001
D,-0.2,1629072406.3763382,-0.0006432500000000008,-19.297500000000024
D,-0.2,1629072406.507146,-0.0006352500000000012,-19.057500000000037
D,-0.2,1629072406.6207936,-0.0006275000000000003,-18.82500000000001
D,-0.2,1629072406.7288976,-0.0006207500000000005,-18.622500000000016
