Time [s], CPU Temperature [degC], PWM command, Current [mA], Active Power [W]
1626701885.7667463, 39.433, 0.75, 724.9107666015625, 60.44867706298828
1626701885.8318374, 38.946, 0.75, 724.9107666015625, 60.44867706298828
1626701885.89487, 39.92, 0.75, 724.9107666015625, 60.44867706298828
1626701885.95895, 38.946, 0.75, 724.7002563476562, 60.877952575683594
1626701886.0227957, 39.92, 0.75, 724.7002563476562, 60.877952575683594
1626701886.0866299, 40.407, 1.0, 724.7002563476562, 60.877952575683594
1626701886.1510866, 38.459, 1.0, 724.7002563476562, 60.877952575683594
1626701886.2155998, 40.407, 1.0, 724.7002563476562, 60.877952575683594
1626701886.2790864, 39.92, 1.0, 724.7002563476562, 60.877952575683594
1626701886.3428464, 39.433, 1.0, 724.7002563476562, 60.877952575683594
1626701886.4068255, 39.433, 1.0, 724.7002563476562, 60.877952575683594
1626701886.4714832, 39.433, 1.0, 724.7002563476562, 60.877952575683594
1626701886.5356987, 39.433, 1.0, 724.7002563476562, 60.877952575683594
1626701886.5979528, 40.894, 1.0, 724.7002563476562, 60.877952575683594
1626701886.6635902, 39.92, 1.0, 724.7002563476562, 60.877952575683594
1626701886.726839, 38.459, 1.0, 724.7002563476562, 60.877952575683594
1626701886.7908547, 39.92, 1.0, 728.5476684570312, 61.486663818359375
1626701886.8557425, 37.972, 1.0, 728.5476684570312, 61.486663818359375
1626701886.9196777, 39.92, 1.0, 728.5476684570312, 61.486663818359375
1626701886.983157, 38.459, 1.0, 728.5476684570312, 61.486663818359375
1626701887.0469406, 40.407, 1.0, 728.5476684570312, 61.486663818359375
1626701887.11063, 40.407, 1.0, 728.5476684570312, 61.486663818359375
1626701887.1751618, 38.946, 1.0, 728.5476684570312, 61.486663818359375
1626701887.2388697, 39.92, 1.0, 728.5476684570312, 61.486663818359375
1626701887.3016374, 39.433, 1.0, 728.5476684570312, 61.486663818359375
1626701887.3671815, 40.894, 1.0, 728.5476684570312, 61.486663818359375
1626701887.429723, 40.407, 1.0, 728.5476684570312, 61.486663818359375
1626701887.4945092, 39.433, 1.0, 728.5476684570312, 61.486663818359375
1626701887.5576677, 38.946, 1.0, 728.5476684570312, 61.486663818359375
1626701887.6234775, 40.894, 1.0, 722.8584594726562, 60.022010803222656
1626701887.6868284, 39.92, 1.0, 722.8584594726562, 60.022010803222656
1626701887.7512214, 40.407, 1.0, 722.8584594726562, 60.022010803222656
1626701887.8148086, 38.459, 1.0, 722.8584594726562, 60.022010803222656
1626701887.8781025, 39.92, 1.0, 722.8584594726562, 60.022010803222656
1626701887.942671, 39.433, 1.0, 722.8584594726562, 60.022010803222656
1626701888.005471, 39.433, 1.0, 722.8584594726562, 60.022010803222656
1626701888.071106, 38.946, 1.0, 722.8584594726562, 60.022010803222656
1626701888.1342719, 39.433, 1.0, 722.8584594726562, 60.022010803222656
1626701888.2011116, 39.92, 1.0, 722.8584594726562, 60.022010803222656
1626701888.2623389, 39.92, 1.0, 722.8584594726562, 60.022010803222656
1626701888.3264117, 38.946, 1.0, 722.8584594726562, 60.022010803222656
1626701888.3899462, 39.433, 1.0, 722.8584594726562, 60.022010803222656
1626701888.4538813, 38.946, 1.0, 720.0655517578125, 60.00233840942383
1626701888.518734, 39.433, 1.0, 720.0655517578125, 60.00233840942383
1626701888.583712, 39.433, 1.0, 720.0655517578125, 60.00233840942383
